POST,2° TURNO,DATA,LINK POSTAGEM,EXTRAÍDOS,N° COMENTÁRIOS,LINK COMENTÁRIOS,CONFIANÇA,FELICIDADE,EXPECTATIVA,SURPRESA,MEDO,TRISTEZA,RAIVA,REPULSA,POSITIVO,NEGATIVO,GRÁFICO,CATEGORIA,PARCERIA,OBSERVAÇÃO,TIPO
1,-,2023-08-08,https://www.instagram.com/p/Cvr6sBVLOvb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,-,2023-08-08,https://www.instagram.com/reel/Cvs44TrLLEI/?igsh=MXJ2YzZzNHBzeHJ4bA%3D%3D ,413,522,-,"24,4","12,6","12,2","6,1",14,"13,8","10,4","6,7","55,3","44,9",HIST,Autenticidade,Correa,história para expressar confiança,vídeo institucional
2,-,2023-08-08,https://www.instagram.com/reel/CvsHBhrJqIQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,2023-08-08,https://www.instagram.com/p/CvsWtPernV5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,2023-08-08,https://www.instagram.com/p/CvsZpt8Lw9F/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,2023-08-08,https://www.instagram.com/p/CvsZ3gQr7KP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,2023-08-08,https://www.instagram.com/reel/Cvs44TrLLEI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,2023-08-08,https://www.instagram.com/reel/CvtJvg2t2Er/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,2023-08-09,https://www.instagram.com/p/Cvus2udrt3Z/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,2023-08-09,https://www.instagram.com/reel/CvuvcsQJoaL/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,2023-08-09,https://www.instagram.com/p/Cvuyq62rZe8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,2023-08-09,https://www.instagram.com/reel/Cvu44yAOUG0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,2023-08-09,https://www.instagram.com/reel/CvvAjVRgeyZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,2023-08-09,https://www.instagram.com/reel/CvvBQbeuoT0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,-,2023-08-09,https://www.instagram.com/p/Cvvc8vir231/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,2023-08-09,https://www.instagram.com/reel/CvvelhqL2N9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,2023-08-09,https://www.instagram.com/reel/Cvvucw4sjQK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,-,2023-08-10,https://www.instagram.com/reel/CvxnIFfLRST/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,-,2023-08-10,https://www.instagram.com/p/CvxwrLsP5Y7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,-,2023-08-10,https://www.instagram.com/reel/Cvx0ReuN1Dj/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,-,2023-08-10,https://www.instagram.com/reel/CvyTwZdLUZg/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
